author_name,author_id,field_of_expertise_1,field_of_expertise_2,field_of_expertise_3,field_of_expertise_4,field_of_expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mark Alfano,d4SgWcsAAAAJ,Moral Psychology,Epistemology,Nietzsche,Experimental Philosophy,Digital Humanities,,,,,,,,,,,,,,,,,,,,,,11,38,61,103,156,213,287,322,363,517,794,164
Lauren Frederica Klein,Xc9Sco0AAAAJ,digital humanities,data justice,data feminism,quantitative literary studies,,,,,,,,,,,,,,,,,,,,,,,11,42,61,94,132,152,199,219,385,607,850,190
Eetu Mäkelä,-J16RgQAAAAJ,Computational Humanities,Computational Social Science,Digital Humanities,Complex Data,Artificial Intelligence,,,,,,,,,,,,,,21,68,124,133,170,182,129,133,126,121,141,140,181,179,170,170,226,257,263,76
Sebastian Rahtz,Uzo0ECAAAAAJ,text encoding,archaeological computing,digital humanities,,,10,12,15,23,36,43,34,47,67,55,80,96,120,129,128,95,140,123,142,137,152,141,136,127,107,117,98,83,77,76,98,85,19
Benoît Habert,tDnzY3IAAAAJ,Information Architecture,Natural Language Processing,Corpus Linguistics,Digital Humanities,,,,,8,8,18,22,39,51,118,101,146,113,169,131,163,149,146,112,118,114,108,115,158,114,127,97,87,100,70,81,63,11
JOSE LUIS SIERRA RODRIGUEZ,UPeRr9wAAAAJ,Language-driven Development,Attribute Grammars,Computer Language Implementation Tools,eLearning,Digital Humanities,,,,,,,,,,8,8,11,8,27,38,47,142,113,189,163,193,254,208,202,189,158,178,155,185,125,115,98,15
Sara Tonelli,7b95vjEAAAAJ,Natural Language Processing,Digital Humanities,Artificial Intelligence,,,,,,,,,,,,,,,,,,,8,16,44,44,40,109,124,147,176,203,194,214,275,350,370,437,74
Tim Hitchcock,XudWSHsAAAAJ,history,digital humanities,,,,,,,,,,,9,26,28,40,32,43,48,50,65,79,50,77,83,76,112,128,167,230,246,187,216,185,189,211,167,35
Frans Wiering,TN3yLrkAAAAJ,music information retrieval,computational musicology,digital humanities,interaction design,,,,,,,,,,12,8,12,14,11,34,42,98,110,100,132,145,167,129,149,147,176,212,216,183,160,160,158,116,30
Gerhard Heyer,Q1yST2AAAAAJ,Text Mining,NLP,Digital Humanities,,,7,9,4,10,10,6,6,8,6,11,8,22,34,48,42,34,49,55,59,83,118,100,121,152,135,162,119,154,181,227,292,371,84
